זמן תשובה,רב,תשובה
2022-04-07 14:13:10,הרב צביקה,אפשרי
2022-04-07 18:32:09,הרב צביקה,אם הביטוח מאפשר כך
2022-04-07 19:51:56,הרב צביקה,אז בסדר
2022-04-07 22:27:00,הרב צביקה,עדיף דלא
2022-05-07 07:45:35,הרב צביקה,אפשר
2022-05-07 17:43:41,הרב צביקה,לא
2022-05-07 20:34:26,הרב צביקה,מותר
2022-05-07 22:24:36,הרב צביקה,כן
2022-05-07 22:59:54,הרב צביקה,לא ללכת
2022-05-07 23:05:00,הרב צביקה,לא קריטי
2022-06-07 10:25:55,הרב צביקה,לחנך רק למה שיצטרכו כשיהיו גדולים.
2022-06-07 10:34:58,הרב צביקה,כן
2022-06-07 13:46:49,הרב צביקה,כן
2022-06-07 15:56:07,הרב צביקה,"בד""ץ רובין זה כשרות של הרב אברהם רובין שהיה אחראי כשרות מטעם הרבנות רחובות, ובמהלך השנים הפך להיות בד""ץ בפני עצמו"
2022-06-07 15:58:00,הרב צביקה,"על מצוות לא תעשה אין שכר , יש עונש אם עושים"
2022-06-07 16:39:13,הרב צביקה,"הקב""ה מחשבן את עניניו."
2022-06-07 16:39:56,הרב צביקה,"מתוגמל בזה שאתה לא מתרחק מהקב""ה."
2022-06-07 19:49:08,הרב צביקה,אם אין ברירה אחרת
2022-06-07 23:00:16,הרב צביקה,צריך לראות תעודה
2022-06-07 23:02:44,הרב צביקה,צריך לבדוק
2022-06-07 23:13:10,הרב צביקה,"פירות שנעשו בהם מלאכות דאורייתא בשמיטה, מחלוקת ראשונים אם הפרי מותר או נאסר"
2022-06-07 23:19:12,הרב צביקה,זמירה
2022-08-07 09:04:49,הרב צביקה,"עלינו לשבח להגיד עם הציבור, השאר אפשר להגיד בסדר שלך"
2022-08-07 15:55:33,הרב צביקה,1. פרכיות אורז בורא פרי האדמה.
2022-08-07 17:39:28,הרב צביקה,בסדר
2022-08-07 17:40:41,הרב צביקה,"פסקי תשובות בשם הרב אלישיב זצ""ל"
2022-08-07 17:42:10,הרב צביקה,וזאת הברכה
2022-08-07 17:42:49,הרב צביקה,"בשם הרב אויערבך זצ""ל"
2022-10-07 13:04:45,הרב צביקה,"1. חליבה על ידי גוי , חז""ל גזרו שאהחחב אסור, אלא אם יש יהודי שנכנס מידי פעם ומשגיח, ביום גם סומכים על מצלמות."
2022-10-07 13:16:08,הרב צביקה,השאלה אם עצם ההכנסה  לתוך התנור אינה אסורה.
2022-10-07 13:18:03,הרב צביקה,מצוין !
2022-10-07 15:12:06,הרב צביקה,כן
2022-10-07 15:12:45,הרב צביקה,"אם בכף היה ממש בשר, המחבת בשרי"
2022-10-07 15:13:05,הרב צביקה,חלב נכרי ללא השגחה של יהודי אסור בשתיה
2022-10-07 15:38:50,הרב צביקה,על החליבה
2022-11-07 07:52:36,הרב צביקה,"ניתן לעשות הטבת חלום, תענית, צדקה"
2022-11-07 07:53:31,הרב צביקה,"או, או"
2022-11-07 13:14:51,הרב צביקה,לא.
2022-11-07 18:01:28,הרב צביקה,לא
2022-11-07 18:08:56,הרב צביקה,"זו גמיבת דעת, שהמוכר חושב שאתה רוצה לקנות אצלו ונותן לך שירות על סמך זה"
2022-11-07 18:09:09,הרב צביקה,* גניבת דעת
2022-11-07 18:42:30,הרב צביקה,הם יוצאים מנקודת הנחה שאולי תקנה.
2022-11-07 19:05:05,הרב צביקה,אם ברור לך שלא תקנה תשאל את המוכר אם הוא מסכים
2022-11-07 22:22:23,הרב צביקה,אם הוא מרשה לך
2022-11-07 23:07:00,הרב צביקה,לא לכתחילה לחתום במקום מישהו אחר
2022-11-07 23:07:45,הרב צביקה,לחות זה לא מים
2022-12-07 04:48:59,הרב צביקה,עדיין מותר
2022-12-07 15:45:55,הרב צביקה,אם לא מורידים אותה בכלל אינה חוצצת
2022-12-07 16:20:10,הרב צביקה,אשכנזי אם היה ממש בסכנה וניצל יכול לברך
2022-12-07 16:20:31,הרב צביקה,"אשה שלא מורידה את הטבעת בזמן לישת בצק, הטבעת אינה חוצצת"
2022-12-07 17:23:13,הרב צביקה,הורדת הטבעת בלישה היא אינדיקציה שהאשה לא מורידה את הטבעת ולכן אינה חוצצת.
2022-12-07 18:43:15,הרב צביקה,"לשם פרנסה, ולשמור את העיניים כמה שאפשר"
2022-12-07 22:43:09,הרב צביקה,לאשכנזים רק סבון נוזלי
2022-12-07 23:06:01,הרב צביקה,לחפוף ראש בשבת יש להזהר מסחיטה
2022-12-07 23:07:04,הרב צביקה,"במסעדה אין לך קשר עם אף אחד כמו ברחוב שיש תערובת גברים ונשים, בחתונה יש ארוע משותף ויש שמחה משותפת וריקודים שגורמת ליותר חיבור"
2022-12-07 23:16:35,הרב צביקה,"עדיין יש בחתונה קשר ומכנה משותף בין המוזמנים, בניגוד למסעדה שאין קשר"
2022-01-08 07:52:11,הרב צביקה,המחבק או המנשק אחת מהעריות שאין לבו של אדם נוקפו עליהם כגון אחותו הגדולה ואחות אביו וכיוצא בהם אע״פ שאין לו שום הנאה כלל הרי זה מגונה ביותר ודבר איסור הוא ומעשה טפשים שאין קרובים לערוה כלל בין גדולה בין קטנה.
2022-01-08 09:42:18,הרב צביקה,אף פעם לא נבין את כל הכוונה והעומק של התורה.
2022-01-08 12:48:26,הרב צביקה,כל הבנה שהבנת
2022-01-08 12:48:44,הרב צביקה,מותר להחליף א
2022-01-08 18:09:21,הרב צביקה,כן
2022-01-08 18:43:31,הרב צביקה,כן
2022-01-08 18:51:27,הרב צביקה,לא הבנתי את השאלה
2022-01-08 19:02:41,הרב צביקה,אין חלב נכרי ולא אבקת חלב נכרי בכשרות מהודרת
2022-01-08 19:40:50,הרב צביקה,"בדצ""ים של חו""ל יכול להיות"
2022-02-08 14:38:31,הרב צביקה,תלוי מה יש שם
2022-03-08 12:46:05,הרב צביקה,אפשר אם זה הזדמנות
2022-03-08 15:14:17,הרב צביקה,אם הבצק הוא רק קמח ומים ברכתו המוציא
2022-03-08 15:16:33,הרב צביקה,לספרדים תלוי בטעם
2022-03-08 16:18:09,הרב צביקה,"בצק מתוק זה פת הבאה בכיסנין וברכתה מזונות, ואם קובעיל סעודה מברכים המוציא"
2022-03-08 16:18:24,הרב צביקה,אם זה ממש מפריע ניתן לעקור
2022-03-08 16:32:15,הרב צביקה,נכון
2022-03-08 16:41:09,הרב צביקה,מותר
2022-03-08 17:25:02,הרב צביקה,יש דברים רבים שאין עליהם מחלוקת.
2022-03-08 17:25:17,הרב צביקה,אפשר לקחת אם ברור שאמא מסכימה
2022-03-08 20:44:11,הרב צביקה,לא יודע
2022-04-08 06:59:10,הרב צביקה,"להגיד את מה שהוא רוצה שיגידו עליו, זה הכיבוד הורים"
2022-04-08 07:38:53,הרב צביקה,מצוות לא תעשה אלו מצוות שאסור לעשות.
2022-04-08 14:22:37,הרב צביקה,כדי שהוא יהיה שווה לתלמידים
2022-04-08 14:30:28,הרב צביקה,זה לא גזל
2022-04-08 14:45:41,הרב צביקה,הכח של הגויים וכוחות הרע בעולם יותר חזק בימים אלו.
2022-04-08 17:26:42,הרב צביקה,מותר
2022-04-08 17:28:26,הרב צביקה,אם לא בולעים ולא לועסים לא מבשר
2022-04-08 17:31:18,הרב צביקה,לעיסה או בליעה גם של הרוטב
2022-04-08 17:51:53,הרב צביקה,כן בודאי
2022-04-08 18:23:34,הרב צביקה,"לא , התכוונתי בתשעת הימים"
2022-04-08 19:00:54,הרב צביקה,לא
2022-04-08 19:01:52,הרב צביקה,בתשעה באב עצמו אסור
2022-05-08 05:14:04,הרב צביקה,שורש בסדר
2022-05-08 07:50:14,הרב צביקה,כן
2022-05-08 11:11:34,הרב צביקה,משתדלים לא לעבוד בתשעה באב חוץ  מדהר האבד.
2022-05-08 12:12:01,הרב צביקה,רק אם ממש צריך
2022-05-08 12:22:14,הרב צביקה,לא הבנתי את השאלה
2022-05-08 12:22:41,הרב צביקה,על איזה תבשיל מדובר ?
2022-05-08 13:29:16,הרב צביקה,היין אוסר את התבשיל
2022-05-08 13:52:46,הרב צביקה,כן
2022-05-08 14:47:14,הרב צביקה,"הרב עובדיה בשו""ת יביע אומר חלק א סימן יא סומך להקל בשומר תורה ומצוות שמחלל שבת בשביל פרנסה."
2022-05-08 15:58:36,הרב צביקה,"שאר המאכלים ניתן להקל, בעיקר אם הם מכוסים"
2022-05-08 15:59:22,הרב צביקה,"במוצ""ש לא עושים הבדלה, רק מברכים על האש."
2022-05-08 16:00:25,הרב צביקה,"במוצאי שבת מיד לאחר צאת הכוכבים, אומרים ברוך המבדיל והכל מותר"
2022-05-08 16:53:07,הרב צביקה,"להשאיר טלפון פתוח, להכין תיק למקרה של הקפצה"
2022-05-08 16:56:25,הרב צביקה,כן
2022-05-08 18:12:18,הרב צביקה,לא יכול לחזור.
2022-05-08 18:13:04,הרב צביקה,מותר ללמוד רק דברים שמדברים או קשורים לחורבן
2022-05-08 18:15:57,הרב צביקה,מותר ללמוד רק דברים שמדברים .או קשורים לחורבן.
2022-06-08 22:57:55,הרב צביקה,"כל מה שקשור לתשעה באב ולחורבן מותר ללמוד, לימוד תורה אחר אסור כל היום."
2022-06-08 22:58:17,הרב צביקה,רד תיקון לאה
2022-06-08 23:20:53,הרב צביקה,אשכנזים וחלק מהספרדים מניחים רק במנחה.
2022-06-08 23:21:51,הרב צביקה,"מי שנמצא במנין שנוהגים אחרת ממנהגו , יעשה כפי שנוהגים הציבור משום לא תתגודדו, או שיתפלל בצד או בחוץ שלא יהיה ניכר שהוא נוהג שונה"
2022-06-08 23:30:18,הרב צביקה,בלי מים אפשר
2022-06-08 23:32:13,הרב צביקה,כן
2022-07-08 00:19:32,הרב צביקה,אסור כלי נגינה בכלל
2022-07-08 11:48:48,הרב צביקה,כן
2022-07-08 11:49:40,הרב צביקה,נכון
2022-07-08 12:05:31,הרב צביקה,כביסה ?
2022-07-08 12:33:00,הרב צביקה,כן
2022-07-08 13:22:12,הרב צביקה,ראיתי
2022-07-08 14:22:20,הרב צביקה,בישיבה :
2022-07-08 14:22:33,הרב צביקה,בישוב מנחה ב 18:50
2022-07-08 14:41:35,הרב צביקה,אסור לטבול ולהתרחץ
2022-07-08 14:49:07,הרב צביקה,אחד מחמשת האיסורים הוא רחיצה
2022-07-08 14:49:56,הרב צביקה,"לאחר שהצום מסתיים אפשר להתרחץ, להתגלח וכו'"
2022-07-08 14:50:24,הרב צביקה,לאשכנזים אסור לאכול בשר הערב
2022-07-08 14:50:50,הרב צביקה,"מי ששבר את הצום אין ענין להמשיך לצום, אבל לא לאכול מעדנים ופינוקים"
2022-07-08 14:51:47,הרב צביקה,בתשעה באב רגיל ספרדים מחמירים באכילת בשר  ב י אב כל היום ואשכנזים מחמירים רק עד חצות היום
2022-07-08 14:52:11,הרב צביקה,השנה ספרדים מקילים באכילת בשר מהערב ואשכנזים מחמירים הערב
2022-07-08 15:04:49,הרב צביקה,"גיזום לשם הצמחת העץ אסור, וזו מלאכה האסורה בתורה."
2022-07-08 15:05:12,הרב צביקה,"גיזום לסיבה אחרת, תלוי בסיבה ותלוי איך גוזמים"
2022-07-08 15:09:47,הרב צביקה,"רק אם זה ממש מפריע, וגם אז צריך לגזום גיזום לא מקצועי שלא יועיל לעץ."
2022-07-08 15:13:06,הרב צביקה,ברכת מאורי האש היא רק במוצאי שבת
2022-07-08 17:33:14,הרב צביקה,"מנהג שמקורו מהזוהר פרשת לך לך, זה לא הלכה בשו""ע."
2022-07-08 17:34:25,הרב צביקה,מותר כי זו לא ממש סיכה שאסורה
2022-07-08 17:57:50,הרב צביקה,לא יודע
2022-07-08 18:06:13,הרב צביקה,"עכשיו דברים שקשורים לתשעה באב, דברים אחרים בסוף הצום"
2022-07-08 18:25:28,הרב צביקה,"בעז""ה לא יהיו אבדות"
2022-07-08 18:27:05,הרב צביקה,לא אכפת מהאויבים
2022-07-08 20:21:29,הרב צביקה,"מי שלא יתפלל מנחה, יתפלל ערבית פעמיים."
2022-07-08 20:23:07,הרב צביקה,כן
2022-07-08 21:01:32,הרב צביקה,הכל מותר
2022-08-08 13:50:46,הרב צביקה,לא
2022-08-08 16:43:39,הרב צביקה,לא צריך
2022-08-08 17:33:44,הרב צביקה,מותר
2022-08-08 18:12:07,הרב צביקה,בכל שניצל יש מחלוקת גדולה
2022-08-08 18:14:13,הרב צביקה,מותר להכניס לתנור
2022-08-08 19:14:30,הרב צביקה,בשבת עצמה רק מצטמק ורע לו
2022-08-08 19:14:31,הרב צביקה,"אם הייתי יודע את כל הטעמים של האר""י, המצב שלי היה אחרת לגמרי . . ."
2022-08-08 19:28:34,הרב צביקה,כן
2022-08-08 19:57:57,הרב צביקה,מותר
2022-08-08 19:58:34,הרב צביקה,זה לא אני
2022-08-08 19:58:54,הרב צביקה,לכתחילה צריך כיסוי
2022-08-08 20:02:41,הרב צביקה,אם לא אכלת בכלל
2022-08-08 20:03:37,הרב צביקה,כן
2022-09-08 10:06:26,הרב צביקה,לא
2022-09-08 10:14:09,הרב צביקה,המאכל מותר
2022-09-08 10:42:22,הרב צביקה,אפשר
2022-09-08 17:44:29,הרב צביקה,אם ידוע שלא אכפת להם אפשר
2022-09-08 18:17:20,הרב צביקה,"או שסומכים על הרב עובדיה שבפלטה אין איסור החזרה כי לא רגילים לבשל עליה, או ששמים כלי הפוך או תבנית"
2022-09-08 19:00:13,הרב צביקה,תענית קצרה וקלה
2022-09-08 20:06:14,הרב צביקה,לחנות בלי לשלם זה לא גזל
2022-09-08 20:41:39,הרב צביקה,נחשב מוקצה אלא אם כן השתמשו בזה לפני שבת לשימוש אחר
2022-09-08 20:42:50,הרב צביקה,"ולכן אם ילד משחק עם זה, אם הוא שיחק עם זה לפני שבת, ניתן לקחת, אם לא, אסור לקחת ישירות אלא בשינוי"
2022-09-08 22:11:38,הרב צביקה,"שנאת חינם זו עבירה מהתורה - ""לא תשנא את אחיך בלבבך"""
2022-09-08 22:12:09,הרב צביקה,"שו""ע או""ח סימן קפ סעיף ד -"
2022-09-08 22:13:34,הרב צביקה,לא לאבד בידיים.
2022-10-08 05:19:13,הרב צביקה,1.דווקא בלחם צריך להזהר.
2022-10-08 09:34:17,הרב צביקה,"פעם ביום, אם הולך או נוסע שיעור פרסה (72 דקות), ומברכים לאחר שכבר הוא בדרך ויצא מישובו"
2022-10-08 10:42:21,הרב צביקה,"אם ניתן לכסות את המאכל שלך בצורה הרמטית שלא יכנסו אדים , ניתן בדיעבד אך לא להכניס לתנור ביחד עם מאכלים לא כשרים"
2022-10-08 14:08:39,הרב צביקה,"אם זה מגיע לעני והוא יכול לקנות בזה מצרכים אפילו לא אוכל, נחשב צדקה"
2022-10-08 14:25:05,הרב צביקה,לא צריך לתת כל פעם לכל מי שמבקש
2022-10-08 14:25:23,הרב צביקה,ירקות כבושים אם דרך אכילתם כך ברכתן בורא פרי האדמה
2022-10-08 16:30:03,הרב צביקה,מותר
2022-11-08 08:05:24,הרב צביקה,"לענות אחר מי שאתה שומע הכי טוב, או אחר האחרון."
2022-11-08 09:23:05,הרב צביקה,"אפשר להגיד הכל בברכת שומע תפילה, אבל תפילת הדרך תיקנו חכמים לומר בנפרד כשיוצא לדרך"
2022-11-08 11:37:59,הרב צביקה,"צריך להגיד : אני אוהב, גם לאשה וגם לארץ ישראל, גם כשזה לא מרגיש כך."
2022-11-08 23:23:20,הרב צביקה,"על פי דין תורה לא מענישים אלא אם כן בן אדם ביצע עבירה, ולא על מחשבה."
2022-12-08 11:14:45,הרב צביקה,"1. לא לעשות מלאכה או צרכי עצמך , בעיקר דברים שלוקחים זמן ועלולים לבוא על חשבון התפילה. דברים קטנים שלא לוקחים הרבה זמן ולא מסיחים את הדעת כל כך, אפשר להקל."
2022-12-08 11:15:41,הרב צביקה,לרוב הפוסקים כן
2022-12-08 14:04:20,הרב צביקה,כל 30 יום
2022-12-08 14:21:07,הרב צביקה,אין איסור
2022-12-08 16:07:33,הרב צביקה,"עדשות שמורידים כל יום חוצץ, עדשות שמשאירים לכמה ימים לא חוצץ."
2022-12-08 16:08:10,הרב צביקה,"צבע על הידיים אם אדם מקפיד על זה , ורוצה לנקות"
2022-12-08 16:18:41,הרב צביקה,"אם אדם מקפיד עלזה , לא ילך ככה ברחוב"
2022-12-08 18:19:39,הרב צביקה,כל מי שלא שומע מהשני חייב לברך
2022-01-09 12:53:39,הרב צביקה,מותר להעביר את שוי הצדקה בביט.
2022-01-09 12:58:06,הרב צביקה,כן
2022-02-09 16:09:58,הרב צביקה,אם אתה רואה את הדם אפילו קטן צריך להוציא.
2022-04-09 08:48:34,הרב צביקה,השיעור היום בהלכות תשובה יהיה היום בשעה 10:45 עד 11:30
2022-04-09 15:40:58,הרב צביקה,לצורך לימוד ואתה לא מתכוון לקנות אותו
2022-04-09 15:43:47,הרב צביקה,כן.
2022-04-09 17:40:22,הרב צביקה,צריך לרמז לו ולא לצוות.
2022-04-09 19:00:35,הרב צביקה,צריך שהצילום לא ימנע ממך את הקניה
2022-04-09 19:28:00,הרב צביקה,"הכל תלוי אם זה ללימוד, ואם זה לא יגרטם נזק בגלל שזה ימנע קניה"
2022-04-09 19:55:57,הרב צביקה,על זה מדובר
2022-04-09 21:47:35,הרב צביקה,למה לא ?
2022-04-09 21:49:08,הרב צביקה,"נכון שהמדינה לא פוסקת על פי דין תורה, אבל מדינא דמלכותא ומנהג המדינה מה שהשלטון תופס, אין דרך להוציא ממנו ולכן הבעלים מתייאשים"
2022-05-09 09:35:34,הרב צביקה,בימינו שזה ידוע מותר
2022-06-09 12:51:49,הרב צביקה,צריך לבקש סליחה.
2022-06-09 12:52:32,הרב צביקה,"יש מצווה ללנוד תורה, חלק מהמצווה היא להשתדל לזכור, יש איסור לשכוח את התורה"
2022-06-09 13:11:54,הרב צביקה,"כל התורה שלנו בנויה על מסורת, על השתשלשות התורה שבע""פ ממשה רבינו עד היום."
2022-06-09 13:12:14,הרב צביקה,לחמם חלבי במיקרו בשרי צריך 2 כיסויים אטומים
2022-06-09 13:23:14,הרב צביקה,"גם דג ובשר כנ""ל"
2022-06-09 13:23:30,הרב צביקה,צריך להוריד מדבקות כמה שאפשר
2022-06-09 14:40:40,הרב צביקה,"אם שאלת וקיבלת תשובה, זה בעיה."
2022-06-09 16:32:11,הרב צביקה,"בקבוק זכוכית תוצרת חו""ל אם רוצים להשתמש בו שימוש חוזר צריך טבילה."
2022-06-09 16:33:09,הרב צביקה,תבשיל פרווה שהתבשל בסיר חלבי נקי לספרדים מותר לאוכלו עם בשר וכן להיפך.
2022-07-09 21:21:14,הרב צביקה,כן
2022-07-09 22:16:15,הרב צביקה,לכתחילה להשתמש במיקוגל גם לחלבי וגם לבשרי ?
2022-08-09 05:21:56,הרב צביקה,לכתחילה לא
2022-08-09 08:28:33,הרב צביקה,2 כיסויים אטומים אפשר
2022-08-09 10:04:48,הרב צביקה,עדיין יש לפעמים שיוצאים אדים
2022-08-09 13:23:48,הרב צביקה,מלקות זה עונש על איסור תורה 39 מלקות
2022-08-09 13:59:53,הרב צביקה,אסור כי זה גורם לשני לחלל שבת
2022-08-09 17:28:27,הרב צביקה,"הרמב""ם כותב שזו מצוות מדרבנן כחלק ממצוות ואהבת לרעך כמוך"
2022-08-09 18:00:57,הרב צביקה,"לכסח דשא רק אם הוא ימות בלי, אבל לעודד צמיחה אסור."
2022-08-09 18:01:13,הרב צביקה,בכל מקרה עוד שבועיים יהיה מותר הכל
2022-08-09 18:08:39,הרב צביקה,פלסטיק הכל מותר
2022-08-09 19:10:19,הרב צביקה,אם אבא מבקש לעשות עבירה אסור לעשות.
2022-08-09 19:17:41,הרב צביקה,"בהכנה אין בעיה, הבעיה לתת לאבא את הקפה לאחר בשר"
2022-08-09 19:41:44,הרב צביקה,אסור לעזור לו ולהגיש לו
2022-08-09 20:59:34,הרב צביקה,"הרב עובדיה מתיר למכור אוכל או בגדים אם יש חשש לעבירה, אבל אם בטוח יש עבירה אסור"
2022-09-09 07:54:18,הרב צביקה,"אשה על אופנוע זה חוסר צניעות כי זה לא רגיל ומושך תשומת לב, אם זה יהיה רגיל תהיה פחות בעיה."
2022-09-09 08:17:38,הרב צביקה,רוב ההלכות אינן משתנות ואינן תלויות בזמן או במקום.
2022-09-09 11:11:12,הרב צביקה,סעודה גדולה עד חצות
2022-09-09 16:46:41,הרב צביקה,שום מבושל מאבד את חריפותו ולכן אין לו דין דבר חריף.
2022-09-09 16:47:01,הרב צביקה,לחם שהיה לחם רגיל ומילאו אותו בשר ברכתו המוציא
2022-09-09 16:47:32,הרב צביקה,"אסור לתת מתנת חינם לגוי או יחס מיוחד, אבל מה שעושים רגיל מותר"
2022-09-09 16:55:41,הרב צביקה,אם זה בצק ללא תוספות מיוחדות והוא רך ולא קשה לאחר האפיה ברכתו המוציא.
2022-09-09 16:56:06,הרב צביקה,"השו""ע מחלק בין מילוי מתוק שבאכתו מזונות גם בבצק רגיל לבין מילוי שאינו מתןק"
2022-10-09 20:28:34,הרב צביקה,"למחות צריך אם האדם יכול להיות שיקשיב וזה לא ירחיק אותו. אם ברור שהוא לא יקשיב, כמו שיש מצווה לומר דבר הנשמע כך מצווה שלא לומר דבר שאינו נשמע"
2022-10-09 20:29:02,הרב צביקה,מותר לחמם את האוכל אם לא נעשתה עבירה ממש לצורך בחימום
2022-10-09 21:11:06,הרב צביקה,בכט באלול חותמים על טופס פרוזבול שיופץ על ידי הרבנים מטעם הרבנות הראשית
2022-10-09 21:34:07,הרב צביקה,פעם אחת ממלאים
2022-10-09 21:46:20,הרב צביקה,"אם האוכל חומם לא בגלל מעשה העבירה עצמו, הוא לא נאסר"
2022-10-09 21:46:39,הרב צביקה,למלא את הפרוזבןל על פי ההוראות
2022-11-09 05:00:41,הרב צביקה,צריך
2022-11-09 12:37:06,הרב צביקה,בעקרון אחרי כהן לוי וישראל אפשר עוד פעם כהן לוי וישראל.
2022-12-09 09:34:43,הרב צביקה,"סוכה שעושים 30 יום קודם סוכות, צריך לחדש בה משהו."
2022-12-09 14:29:53,הרב צביקה,אשרי ותחנון אפשר להגיד כל היום
2022-02-10 09:15:05,הרב צביקה,1. אפשר להגיד אבינו מלכנו ביחיד.
2022-02-10 09:38:24,הרב צביקה,לא יהיה שיעור היום
2022-02-10 14:45:41,הרב גבריאל פאל,‎Your security code with הרב changed.
2022-02-10 15:15:21,הרב צביקה,רופאה ומטופל גבר יש יחוד ולכן צריך להשאיר את הדלת פתוחה קצת או לפחות לא נעולה.
2022-02-10 15:16:40,הרב צביקה,טורטיה רגילה שעשויה מקמח חיטה צריך נטילת ידיים והמוציא
2022-02-10 15:33:48,הרב צביקה,לא מכיר כזה הסבר . . .
2022-03-10 08:47:10,הרב צביקה,דניאל הנדימן היקר שלח לי שני שיעורים של רבנים חשובים שפוסקים לברך מזונות גם על טורטיה מקמח ומים.
2022-03-10 08:47:51,הרב צביקה,אסור לקנות בחול המועד אלא לצורך המועד או דבר האבד שלא יהיה אחרי החג. וכן אסור לעדות תיקונים בבית או לצבוע
2022-03-10 08:48:00,הרב צביקה,מותר להתמקח על המחיר
2022-03-10 09:02:18,הרב צביקה,צריך לברר על כל מוצר
2022-03-10 09:20:14,הרב צביקה,הם אומרים שבגלל שיש בזה ספק עדיף לברך מזונות
2022-03-10 09:20:43,הרב צביקה,"גם קולה של ערבים צריך לראות היכן מיוצר , בבני ברר עם כיתוב בערבית או ברמאלה"
2022-03-10 09:24:28,הרב צביקה,"תמיד בכל ספק כזה, עדיף ליטול ידיים ולברך על לחם"
2022-03-10 12:56:34,הרב צביקה,"1. חשוב שיהיה אתרוג שאינו מורכב, הסוג פחות משנה, כל אחד אומר שהסוג שלו הכי טוב, וכל אחד יקנה על פי מסורת אבותיו אם יש."
2022-03-10 12:57:10,הרב צביקה,פירות עכשיו יש בהם קדושת שביעית ואסור להפסידם ולכן אסור לגזום ענף אם יש עליו פירות שאינם בשלים ויפסדו
2022-03-10 12:57:27,הרב צביקה,כל אכילה מחר יש בה מצווה ויש אומרים שכבר מהערב
2022-03-10 13:06:21,הרב צביקה,יש מצווה לאכול בערב יום כיפור.
2022-03-10 13:07:06,הרב צביקה,"גם כדי שהצום יהיה קל, ומעלה הכתוב למי שאוכל בערב יום כיפור כאילו צם יומיים"
2022-03-10 15:02:29,הרב צביקה,להצמד למילים ולהוסיף עליהם את החטאים הפרטיים.
2022-03-10 17:54:42,הרב צביקה,לא
2022-03-10 18:02:28,הרב צביקה,לא
2022-03-10 18:03:10,הרב צביקה,זה בסדר
2022-03-10 18:29:51,הרב צביקה,אם הכסף הולך לצדקה אפשר
2022-03-10 22:18:52,הרב צביקה,אם אין ברירה . . .
2022-03-10 23:36:06,הרב צביקה,אין שיעור לכסף
2022-04-10 09:10:32,הרב צביקה,ראוי לאכול לחם
2022-04-10 11:12:44,הרב צביקה,יכול לברך
2022-04-10 11:32:52,הרב צביקה,כל היום
2022-04-10 11:33:25,הרב גבריאל פאל,חברים ומשפחה!
2022-04-10 12:33:49,הרב צביקה,"מותר להשתמש במוצרי עור במהלך השנה, לאדם מותר להרוג בעלי חיים לצורך אכילה או שימוש, אך אסור לצער אותם."
2022-04-10 13:15:41,הרב צביקה,"1. יש להמנע מלהריח אתרוג של מצווה. (שו""ע תרנג)"
2022-04-10 14:29:49,הרב צביקה,1. איסור רחיצה כולל שטיפת הפה.
2022-04-10 15:40:03,הרב צביקה,עד קשרי אצבעות
2022-06-10 09:36:18,הרב צביקה,בגובה - הדפנות לא צריכות להגיע לסכך
2022-06-10 09:37:34,הרב צביקה,צריך שיהיו 2 וחצי דפנות ללא רווח
2022-06-10 11:43:23,הרב צביקה,"גובה הדופן צריך להיות לפחות 80 ס""מ ועדיף מטר"
2022-06-10 11:44:41,הרב צביקה,"ושלא יהיה רווח אויר יותר מ 24 ס""מ"
2022-06-10 11:45:32,הרב צביקה,"שהחוט לא יהיה מרוחק מהמעקה יותר מ 24 ס""מ"
2022-06-10 11:45:53,הרב צביקה,"השו""ע אוסר למחוא כף או להכות בקצב בשבת ויום טוב"
2022-06-10 11:47:21,הרב צביקה,כנראה
2022-06-10 12:25:50,הרב צביקה,אם יש חחש פטורין ממשי מותר לעבוד
2022-06-10 13:40:14,הרב צביקה,1. בד שזז ברוח פסול להיות דופן.
2022-06-10 16:58:42,הרב צביקה,1. תלוי בצורה של הדפנות
2022-06-10 21:24:05,הרב צביקה,"אם הגובה של הקומה מעל 80 ס""מ"
2022-06-10 22:17:14,הרב צביקה,1. תלוי איך נוהגים במקום
2022-07-10 08:45:46,הרב צביקה,לפי המקום
2022-07-10 11:09:26,הרב צביקה,מנחה פעמיים
2022-07-10 11:09:42,הרב צביקה,גוי יכול לכבות
2022-07-10 13:55:39,הרב צביקה,כן
2022-07-10 14:35:49,הרב צביקה,לא פוסל
2022-07-10 15:53:13,הרב צביקה,לא
2022-11-10 20:55:09,הרב צביקה,המוציא אסור מחוץ לסוכה
2022-11-10 21:24:08,הרב צביקה,"אם אין רווח של אויר מתחתית הדלת לרצפה יותר מ 24 ס""מ"
2022-12-10 08:05:37,הרב צביקה,לא
2022-12-10 08:31:41,הרב צביקה,ניילון מעל הסכך פוסל את הסכך
2022-12-10 08:32:23,הרב צביקה,"כלי אוכל מחרס לרוב מצופים זכוכית , רואים זאת על פי הברק והחלקות"
2022-12-10 11:38:13,הרב צביקה,1. משקל אוכל לא צריך טבילה
2022-12-10 16:14:17,הרב צביקה,"סידור בית או קניות מותר רק מה שאין ברירה אלא לעשות בחול המועד, אבל כדי לחסוך זמן, ולעשות משימות בחול המועד כדי שלא יצטרכו לעשות אחרי החג אסור"
2022-12-10 16:16:08,הרב צביקה,"סוכה כשרה צריכה 2 דפנות שלמות שמגיעות לקרקע או לבוד כלומר חוטים שאין בין התחתון לקרקע וביניהם 24 ס""מ."
